id,name,REGION
1,BISHAN,CENTRAL REGION
2,BUKIT BATOK,WEST REGION
3,BUKIT MERAH,CENTRAL REGION
4,BUKIT PANJANG,WEST REGION
5,BUKIT TIMAH,CENTRAL REGION
6,CENTRAL WATER CATCHMENT,NORTH REGION
7,CHANGI,EAST REGION
9,CHOA CHU KANG,WEST REGION
10,CLEMENTI,WEST REGION
11,GEYLANG,CENTRAL REGION
12,NOVENA,CENTRAL REGION
13,PASIR RIS,EAST REGION
14,PAYA LEBAR,EAST REGION
15,SELETAR,NORTH-EAST REGION
16,SEMBAWANG,NORTH REGION
17,BEDOK,EAST REGION
18,BOON LAY,WEST REGION
19,SENGKANG,NORTH-EAST REGION
20,SERANGOON,NORTH-EAST REGION
21,ANG MO KIO,NORTH-EAST REGION
22,TENGAH,WEST REGION
23,TOA PAYOH,CENTRAL REGION
24,WESTERN WATER CATCHMENT,WEST REGION
25,YISHUN,NORTH REGION
26,DOWNTOWN CORE,CENTRAL REGION
28,NEWTON,CENTRAL REGION
29,ORCHARD,CENTRAL REGION
30,WOODLANDS,NORTH REGION
31,MARINA SOUTH,CENTRAL REGION
32,MUSEUM,CENTRAL REGION
33,HOUGANG,NORTH-EAST REGION
34,JURONG EAST,WEST REGION
35,LIM CHU KANG,NORTH REGION
36,MANDAI,NORTH REGION
37,MARINE PARADE,CENTRAL REGION
39,PIONEER,WEST REGION
40,PUNGGOL,NORTH-EAST REGION
41,QUEENSTOWN,CENTRAL REGION
42,SOUTHERN ISLANDS,CENTRAL REGION
43,TUAS,WEST REGION
44,JURONG WEST,WEST REGION
45,KALLANG,CENTRAL REGION
47,SUNGEI KADUT,NORTH REGION
48,TAMPINES,EAST REGION
50,TANGLIN,CENTRAL REGION
51,OUTRAM,CENTRAL REGION
52,RIVER VALLEY,CENTRAL REGION
53,ROCHOR,CENTRAL REGION
54,SINGAPORE RIVER,CENTRAL REGION
55,STRAITS VIEW,CENTRAL REGION
56,JOHOR BAHRU,NA
