id,name,REGION
1,MARINA SOUTH,CENTRAL REGION
2,PEARL'S HILL,CENTRAL REGION
3,BOAT QUAY,CENTRAL REGION
4,HENDERSON HILL,CENTRAL REGION
5,REDHILL,CENTRAL REGION
6,ALEXANDRA HILL,CENTRAL REGION
7,BUKIT HO SWEE,CENTRAL REGION
8,CLARKE QUAY,CENTRAL REGION
9,PASIR PANJANG 1,CENTRAL REGION
10,QUEENSWAY,CENTRAL REGION
11,KENT RIDGE,CENTRAL REGION
12,ALEXANDRA NORTH,CENTRAL REGION
14,INSTITUTION HILL,CENTRAL REGION
15,ROBERTSON QUAY,CENTRAL REGION
20,SENTOSA,CENTRAL REGION
21,CITY TERMINALS,CENTRAL REGION
22,ANSON,CENTRAL REGION
23,STRAITS VIEW,CENTRAL REGION
24,MARITIME SQUARE,CENTRAL REGION
25,TELOK BLANGAH WAY,CENTRAL REGION
26,MAXWELL,CENTRAL REGION
27,CECIL,CENTRAL REGION
28,KAMPONG TIONG BAHRU,CENTRAL REGION
29,TELOK BLANGAH DRIVE,CENTRAL REGION
30,PASIR PANJANG 2,CENTRAL REGION
31,CENTRAL SUBZONE,CENTRAL REGION
32,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION
33,DEPOT ROAD,CENTRAL REGION
34,PEOPLE'S PARK,CENTRAL REGION
35,BUKIT MERAH,CENTRAL REGION
36,CHINATOWN,CENTRAL REGION
37,PHILLIP,CENTRAL REGION
38,RAFFLES PLACE,CENTRAL REGION
39,CHINA SQUARE,CENTRAL REGION
40,TIONG BAHRU,CENTRAL REGION
41,BAYFRONT SUBZONE,CENTRAL REGION
42,TIONG BAHRU STATION,CENTRAL REGION
43,CLIFFORD PIER,CENTRAL REGION
44,MARINA EAST (MP),CENTRAL REGION
45,MARINA CENTRE,CENTRAL REGION
46,BRAS BASAH,CENTRAL REGION
47,OXLEY,CENTRAL REGION
48,CITY HALL,CENTRAL REGION
49,MEI CHIN,CENTRAL REGION
50,EAST COAST,CENTRAL REGION
51,NATIONAL UNIVERSITY OF S'PORE,CENTRAL REGION
52,ONE TREE HILL,CENTRAL REGION
53,SOMERSET,CENTRAL REGION
54,BENCOOLEN,CENTRAL REGION
55,LEONIE HILL,CENTRAL REGION
56,PORT,CENTRAL REGION
57,DHOBY GHAUT,CENTRAL REGION
58,BUGIS,CENTRAL REGION
