from,to,trips,DAY_TYPE,TIME_PER_HOUR
1,1,36619,WEEKDAY,0
1,3,88,WEEKDAY,0
1,5,77,WEEKDAY,0
1,6,132,WEEKDAY,0
1,10,44,WEEKDAY,0
1,11,66,WEEKDAY,0
1,12,143,WEEKDAY,0
1,13,44,WEEKDAY,0
1,16,594,WEEKDAY,0
1,17,231,WEEKDAY,0
1,19,55,WEEKDAY,0
1,20,1386,WEEKDAY,0
1,21,8206,WEEKDAY,0
1,23,3454,WEEKDAY,0
1,25,1078,WEEKDAY,0
1,26,22,WEEKDAY,0
1,28,22,WEEKDAY,0
1,29,11,WEEKDAY,0
1,32,22,WEEKDAY,0
1,33,836,WEEKDAY,0
1,34,176,WEEKDAY,0
1,36,583,WEEKDAY,0
1,41,44,WEEKDAY,0
1,45,22,WEEKDAY,0
1,48,44,WEEKDAY,0
1,53,110,WEEKDAY,0
2,1,22,WEEKDAY,0
2,2,53811,WEEKDAY,0
2,3,33,WEEKDAY,0
2,4,5368,WEEKDAY,0
2,5,814,WEEKDAY,0
2,6,11,WEEKDAY,0
2,9,14434,WEEKDAY,0
2,10,77,WEEKDAY,0
2,18,44,WEEKDAY,0
2,22,220,WEEKDAY,0
2,23,297,WEEKDAY,0
2,25,132,WEEKDAY,0
2,30,5181,WEEKDAY,0
2,34,1815,WEEKDAY,0
2,36,88,WEEKDAY,0
2,41,11,WEEKDAY,0
2,44,2695,WEEKDAY,0
2,47,4598,WEEKDAY,0
3,1,88,WEEKDAY,0
3,2,495,WEEKDAY,0
3,3,49027,WEEKDAY,0
3,4,110,WEEKDAY,0
3,5,682,WEEKDAY,0
3,6,22,WEEKDAY,0
3,7,11,WEEKDAY,0
3,9,44,WEEKDAY,0
3,10,3718,WEEKDAY,0
3,11,2563,WEEKDAY,0
3,12,341,WEEKDAY,0
3,17,1485,WEEKDAY,0
3,18,11,WEEKDAY,0
3,19,242,WEEKDAY,0
3,20,253,WEEKDAY,0
3,21,462,WEEKDAY,0
3,23,660,WEEKDAY,0
3,25,11,WEEKDAY,0
3,26,935,WEEKDAY,0
3,28,11,WEEKDAY,0
3,29,363,WEEKDAY,0
3,30,121,WEEKDAY,0
3,32,627,WEEKDAY,0
3,33,737,WEEKDAY,0
3,34,1958,WEEKDAY,0
3,37,440,WEEKDAY,0
3,41,10747,WEEKDAY,0
3,42,385,WEEKDAY,0
3,44,671,WEEKDAY,0
3,45,2937,WEEKDAY,0
3,47,33,WEEKDAY,0
3,48,297,WEEKDAY,0
3,50,671,WEEKDAY,0
3,51,2024,WEEKDAY,0
3,52,275,WEEKDAY,0
3,53,1419,WEEKDAY,0
3,54,1991,WEEKDAY,0
4,2,1716,WEEKDAY,0
4,3,22,WEEKDAY,0
4,4,60456,WEEKDAY,0
4,5,539,WEEKDAY,0
4,9,15004,WEEKDAY,0
4,12,231,WEEKDAY,0
4,18,11,WEEKDAY,0
4,25,990,WEEKDAY,0
4,26,77,WEEKDAY,0
4,28,11,WEEKDAY,0
4,29,44,WEEKDAY,0
4,30,3168,WEEKDAY,0
4,32,55,WEEKDAY,0
4,34,220,WEEKDAY,0
4,36,253,WEEKDAY,0
4,41,66,WEEKDAY,0
4,44,121,WEEKDAY,0
4,45,11,WEEKDAY,0
4,47,847,WEEKDAY,0
4,50,44,WEEKDAY,0
4,53,473,WEEKDAY,0
